Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,WeekStatus,Mon,Tue,Wed,Thrs,Fri,Sat,Sun
60.0,30.0,19.89,47.5966666666667,19.2,44.79,19.79,44.73,19.0,45.5666666666667,17.1666666666667,55.2,7.02666666666667,84.2566666666667,17.2,41.6266666666667,18.2,48.9,17.0333333333333,45.53,6.6,733.5,92.0,7.0,63.0,5.3,13.275433157104999,13.275433157104999,1,1,0,0,0,0,0,0
60.0,30.0,19.89,46.6933333333333,19.2,44.7225,19.79,44.79,19.0,45.9925,17.1666666666667,55.2,6.83333333333333,84.0633333333333,17.2,41.56,18.2,48.8633333333333,17.0666666666667,45.56,6.48333333333333,733.6,92.0,6.66666666666667,59.1666666666667,5.2,18.606194981839508,18.606194981839508,1,1,0,0,0,0,0,0
50.0,30.0,19.89,46.3,19.2,44.6266666666667,19.79,44.9333333333333,18.9266666666667,45.89,17.1666666666667,55.09,6.56,83.1566666666667,17.2,41.4333333333333,18.2,48.73,17.0,45.5,6.36666666666667,733.7,92.0,6.33333333333333,55.3333333333333,5.1,28.64266816759482,28.64266816759482,1,1,0,0,0,0,0,0
50.0,40.0,19.89,46.0666666666667,19.2,44.59,19.79,45.0,18.89,45.7233333333333,17.1666666666667,55.09,6.43333333333333,83.4233333333333,17.1333333333333,41.29,18.1,48.59,17.0,45.4,6.25,733.8,92.0,6.0,51.5,5.0,45.41038949973881,45.41038949973881,1,1,0,0,0,0,0,0
60.0,40.0,19.89,46.3333333333333,19.2,44.53,19.79,45.0,18.89,45.53,17.2,55.09,6.36666666666667,84.8933333333333,17.2,41.23,18.1,48.59,17.0,45.4,6.13333333333333,733.9,92.0,5.66666666666667,47.6666666666667,4.9,10.08409655187279,10.08409655187279,1,1,0,0,0,0,0,0
50.0,40.0,19.89,46.0266666666667,19.2,44.5,19.79,44.9333333333333,18.89,45.73,17.1333333333333,55.03,6.3,85.7666666666667,17.1333333333333,41.26,18.1,48.59,17.0,45.29,6.01666666666667,734.0,92.0,5.33333333333333,43.8333333333333,4.8,44.91948424838483,44.91948424838483,1,1,0,0,0,0,0,0
60.0,50.0,19.89,45.7666666666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9666666666667,6.26333333333333,86.09,17.1333333333333,41.2,18.1,48.59,17.0,45.29,5.9,734.1,92.0,5.0,40.0,4.7,47.23376343026757,47.23376343026757,1,1,0,0,0,0,0,0
60.0,50.0,19.8566666666667,45.56,19.2,44.5,19.73,44.9,18.89,45.8633333333333,17.1,54.9,6.19,86.4233333333333,17.1,41.2,18.1,48.59,17.0,45.29,5.91666666666667,734.166666666667,91.8333333333333,5.16666666666667,40.0,4.68333333333333,33.03988962434232,33.03988962434232,1,1,0,0,0,0,0,0
60.0,40.0,19.79,45.5975,19.2,44.4333333333333,19.73,44.79,18.89,45.79,17.1666666666667,55.0,6.12333333333333,87.2266666666667,17.1666666666667,41.4,18.1,48.59,17.0,45.29,5.93333333333333,734.233333333333,91.6666666666667,5.33333333333333,40.0,4.66666666666667,31.455702194944024,31.455702194944024,1,1,0,0,0,0,0,0
70.0,40.0,19.8566666666667,46.09,19.23,44.4,19.79,44.8633333333333,18.89,46.0966666666667,17.1,55.0,6.19,87.6266666666667,17.2,41.5,18.1,48.59,17.0,45.29,5.95,734.3,91.5,5.5,40.0,4.65,3.089313523378223,3.089313523378223,1,1,0,0,0,0,0,0
230.0,70.0,19.9266666666667,45.8633333333333,19.3566666666667,44.4,19.79,44.9,18.89,46.43,17.1,55.0,6.19,87.8666666666667,17.2475,42.7175,18.1,48.59,17.0,45.29,5.96666666666667,734.366666666667,91.3333333333333,5.66666666666667,40.0,4.63333333333333,10.298728744965047,10.298728744965047,1,1,0,0,0,0,0,0
580.0,60.0,20.0666666666667,46.3966666666667,19.4266666666667,44.4,19.79,44.8266666666667,19.0,46.43,17.1,55.0,6.12333333333333,87.9933333333333,17.53,44.2633333333333,18.0666666666667,48.6333333333333,16.89,45.29,5.98333333333333,734.433333333333,91.1666666666667,5.83333333333333,40.0,4.61666666666667,8.827837626449764,8.827837626449764,1,1,0,0,0,0,0,0
430.0,50.0,20.1333333333333,48.0,19.5666666666667,44.4,19.89,44.9,19.0,46.3633333333333,17.1,55.09,6.12333333333333,88.59,17.8233333333333,45.4933333333333,18.0666666666667,48.56,16.9633333333333,45.29,6.0,734.5,91.0,6.0,40.0,4.6,34.35114233288914,34.35114233288914,1,1,0,0,0,0,0,0
250.0,40.0,20.26,52.7266666666667,19.73,45.1,19.89,45.4933333333333,19.0,47.2233333333333,17.1,55.1633333333333,6.0675,88.215,17.9633333333333,46.16,18.0333333333333,48.6666666666667,16.89,45.3266666666667,6.0,734.616666666667,90.5,6.0,40.0,4.51666666666667,19.20518591068685,19.20518591068685,1,1,0,0,0,0,0,0
100.0,10.0,20.4266666666667,55.8933333333333,19.8566666666667,45.8333333333333,20.0333333333333,47.5266666666667,19.0,48.6966666666667,17.1,55.5,5.9,88.1566666666667,17.9633333333333,45.5333333333333,18.1,49.1933333333333,16.89,45.345,6.0,734.733333333333,90.0,6.0,40.0,4.43333333333333,38.49207099992782,38.49207099992782,1,1,0,0,0,0,0,0
100.0,10.0,20.5666666666667,53.8933333333333,20.0333333333333,46.7566666666667,20.1,48.4666666666667,19.0,48.49,17.15,56.0425,5.8,88.3666666666667,17.89,44.9266666666667,18.15,49.2,16.89,45.3266666666667,6.0,734.85,89.5,6.0,40.0,4.35,24.88496210426092,24.88496210426092,1,1,0,0,0,0,0,0
90.0,10.0,20.73,52.66,20.1666666666667,47.2233333333333,20.2,48.53,18.9266666666667,48.1566666666667,17.1666666666667,56.49,5.72666666666667,88.16,17.76,44.2666666666667,18.23,49.6333333333333,16.89,45.29,6.0,734.966666666667,89.0,6.0,40.0,4.26666666666667,35.88092541322112,35.88092541322112,1,1,0,0,0,0,0,0
70.0,30.0,20.8566666666667,53.66,20.2,47.0566666666667,20.2,48.4475,18.89,47.9633333333333,17.2,56.9333333333333,5.52666666666667,87.3,17.7,43.7266666666667,18.3566666666667,50.0266666666667,16.89,45.29,6.0,735.083333333333,88.5,6.0,40.0,4.18333333333333,49.59530474152416,49.59530474152416,1,1,0,0,0,0,0,0
80.0,30.0,20.89,51.1933333333333,20.2,46.33,20.2,48.1933333333333,18.9633333333333,48.63,17.2,57.06,5.33333333333333,86.76,17.6666666666667,43.16,18.5333333333333,50.2,16.89,45.2,6.0,735.2,88.0,6.0,40.0,4.1,19.00175897171721,19.00175897171721,1,1,0,0,0,0,0,0
140.0,40.0,20.89,49.8,20.2,46.0266666666667,20.1666666666667,47.6333333333333,19.0333333333333,49.5,17.5933333333333,70.7266666666667,5.33333333333333,87.4633333333333,17.6,42.6933333333333,18.6666666666667,50.26,16.89,45.2,6.0,735.233333333333,87.8333333333333,6.0,40.0,4.06666666666667,38.87226106598973,38.87226106598973,1,1,0,0,0,0,0,0
120.0,20.0,20.89,48.4333333333333,20.2,45.7225,20.1666666666667,47.3,19.175,49.9475,18.0666666666667,79.0,5.46666666666667,87.53,17.6,42.3333333333333,18.73,50.23,16.89,45.1266666666667,6.0,735.266666666667,87.6666666666667,6.0,40.0,4.03333333333333,46.73526155529544,46.73526155529544,1,1,0,0,0,0,0,0
190.0,40.0,20.9633333333333,47.6333333333333,20.26,45.53,20.2,47.0266666666667,19.26,49.6966666666667,17.6666666666667,79.73,5.5,86.9566666666667,17.5333333333333,42.0666666666667,18.8566666666667,50.29,16.89,45.1266666666667,6.0,735.3,87.5,6.0,40.0,4.0,10.607126064132899,10.607126064132899,1,1,0,0,0,0,0,0
110.0,40.0,21.0333333333333,47.0633333333333,20.29,45.2233333333333,20.26,46.8266666666667,19.3233333333333,49.1666666666667,17.6,79.2566666666667,5.56,86.5633333333333,17.6333333333333,43.6333333333333,18.89,50.1633333333333,16.89,45.06,6.0,735.333333333333,87.3333333333333,6.0,40.0,3.96666666666667,32.5836883042939,32.5836883042939,1,1,0,0,0,0,0,0
110.0,40.0,21.1,46.5966666666667,20.3566666666667,44.9633333333333,20.29,46.6333333333333,19.39,48.4266666666667,17.5666666666667,78.3933333333333,5.62333333333333,86.33,17.76,43.6333333333333,18.9633333333333,50.03,16.89,45.0,6.0,735.366666666667,87.1666666666667,6.0,40.0,3.93333333333333,6.277754798065871,6.277754798065871,1,1,0,0,0,0,0,0
110.0,30.0,21.1333333333333,46.06,20.4266666666667,44.76,20.29,46.4333333333333,19.39,48.1933333333333,17.76,82.46,5.76333333333333,86.0633333333333,17.8566666666667,43.46,19.0,49.76,16.89,44.9666666666667,6.0,735.4,87.0,6.0,40.0,3.9,13.361033436376601,13.361033436376601,1,1,0,0,0,0,0,0
40.0,10.0,19.8233333333333,46.8633333333333,19.2,45.3633333333333,20.2,45.29,19.29,46.79,18.29,50.29,4.9,95.9333333333333,17.89,45.79,19.0,54.0,17.2,50.0,5.1,741.1,93.0,5.0,29.0,4.1,37.85435740137473,37.85435740137473,1,0,1,0,0,0,0,0
50.0,10.0,19.8566666666667,46.93,19.2,45.4,20.2,45.29,19.29,46.79,18.29,50.4266666666667,4.93333333333333,96.09,17.89,45.8633333333333,19.0,54.06,17.2,50.09,5.1,741.216666666667,92.6666666666667,5.0,30.8333333333333,4.05,10.134612757246941,10.134612757246941,1,0,1,0,0,0,0,0
60.0,20.0,19.79,46.79,19.2,45.3266666666667,20.1666666666667,45.29,19.29,46.5966666666667,18.23,50.8333333333333,4.93333333333333,96.09,17.89,45.52,18.9266666666667,53.8,17.2,49.9633333333333,5.1,741.333333333333,92.3333333333333,5.0,32.6666666666667,4.0,35.556061123497784,35.556061123497784,1,0,1,0,0,0,0,0
60.0,20.0,19.79,46.895,19.175,45.195,20.1,45.29,19.26,46.2966666666667,18.2,51.2666666666667,5.0,96.09,17.89,45.14,18.9725,53.15,17.2,49.7233333333333,5.1,741.45,92.0,5.0,34.5,3.95,6.084596051368862,6.084596051368862,1,0,1,0,0,0,0,0
70.0,20.0,19.79,47.4266666666667,19.1,45.03,20.1,45.29,19.2,46.09,18.2,51.5266666666667,5.0,96.09,17.8566666666667,44.8333333333333,18.89,52.8,17.2,49.4633333333333,5.1,741.566666666667,91.6666666666667,5.0,36.3333333333333,3.9,12.274425697978586,12.274425697978586,1,0,1,0,0,0,0,0
60.0,30.0,19.79,48.3666666666667,19.1,45.0,20.1,45.29,19.1666666666667,45.9666666666667,18.1,51.8266666666667,5.0,96.09,17.79,44.5666666666667,18.8566666666667,52.3633333333333,17.15,48.995,5.1,741.683333333333,91.3333333333333,5.0,38.1666666666667,3.85,7.165218971204013,7.165218971204013,1,0,1,0,0,0,0,0
