Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,WeekStatus,Mon,Tue,Wed,Thrs,Fri,Sat,Sun
110.0,20.0,21.2,45.8,20.5,44.76,20.39,46.2233333333333,19.39,47.8,18.3566666666667,82.59,5.65666666666667,85.59,17.79,43.4,19.0666666666667,49.7,16.89,44.9,5.93333333333333,735.466666666667,87.1666666666667,6.0,40.0,3.86666666666667,19.30570462718606,19.30570462718606,1,1,0,0,0,0,0,0
100.0,30.0,21.29,45.9,20.5333333333333,45.09,20.39,46.09,19.39,47.56,18.3566666666667,70.99,5.53,85.73,17.89,43.79,19.1333333333333,49.6333333333333,16.89,44.79,5.86666666666667,735.533333333333,87.3333333333333,6.0,40.0,3.83333333333333,0.6695166579447687,0.6695166579447687,1,1,0,0,0,0,0,0
100.0,20.0,21.3566666666667,45.8266666666667,20.6666666666667,45.1633333333333,20.39,46.09,19.39,47.5,18.6,62.43,5.43333333333333,86.3266666666667,17.89,43.79,19.2,49.4333333333333,16.89,44.79,5.8,735.6,87.5,6.0,40.0,3.8,19.11939785350114,19.11939785350114,1,1,0,0,0,0,0,0
100.0,20.0,21.39,45.69,20.7,45.06,20.39,46.09,19.4266666666667,47.9933333333333,18.6666666666667,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.73333333333333,735.666666666667,87.6666666666667,6.0,40.0,3.76666666666667,43.4845422860235,43.4845422860235,1,1,0,0,0,0,0,0
100.0,20.0,21.5,45.3333333333333,20.7,44.9333333333333,20.39,46.06,19.5666666666667,48.4666666666667,18.8233333333333,56.7266666666667,5.59,86.4666666666667,17.865,43.57,19.29,49.3266666666667,16.89,44.7,5.66666666666667,735.733333333333,87.8333333333333,6.0,40.0,3.73333333333333,17.017449834384024,17.017449834384024,1,1,0,0,0,0,0,0
110.0,20.0,21.5,45.1266666666667,20.79,44.6333333333333,20.39,46.0,19.6666666666667,48.0933333333333,18.9633333333333,55.3333333333333,5.59,86.325,17.79,43.4,19.29,49.1633333333333,16.8233333333333,44.59,5.6,735.8,88.0,6.0,40.0,3.7,24.104005773551762,24.104005773551762,1,1,0,0,0,0,0,0
400.0,20.0,21.5333333333333,44.9666666666667,20.79,44.36,20.4266666666667,45.9333333333333,19.6,47.5,19.0333333333333,54.0933333333333,5.65666666666667,86.2266666666667,17.79,43.2233333333333,19.3566666666667,49.03,16.8233333333333,44.53,5.65,735.883333333333,87.8333333333333,6.16666666666667,40.0,3.71666666666667,29.97829127125442,29.97829127125442,1,1,0,0,0,0,0,0
400.0,20.0,21.6,44.7666666666667,20.89,44.2233333333333,20.5,45.9333333333333,19.6966666666667,47.6266666666667,19.1,53.3666666666667,5.83333333333333,85.7666666666667,17.79,43.03,19.39,48.8633333333333,16.89,44.59,5.7,735.966666666667,87.6666666666667,6.33333333333333,40.0,3.73333333333333,24.677065352443606,24.677065352443606,1,1,0,0,0,0,0,0
390.0,30.0,21.6,44.56,20.9633333333333,43.9633333333333,20.5,45.79,20.0966666666667,47.5666666666667,19.1583333333333,52.4725,5.9,85.0333333333333,17.79,42.76,19.39,48.8633333333333,16.89,44.5225,5.75,736.05,87.5,6.5,40.0,3.75,9.31088007055223,9.31088007055223,1,1,0,0,0,0,0,0
240.0,20.0,21.6,44.36,21.0,43.8333333333333,20.5,45.73,20.5966666666667,47.2233333333333,19.2,51.99,6.0,84.1266666666667,17.79,42.6266666666667,19.34,48.95,16.8233333333333,44.4333333333333,5.8,736.133333333333,87.3333333333333,6.66666666666667,40.0,3.76666666666667,41.36866593034938,41.36866593034938,1,1,0,0,0,0,0,0
60.0,20.0,21.6,44.2,21.0,43.7,20.5,45.59,20.9966666666667,47.03,19.2225,51.52,6.0,84.06,17.7,42.6266666666667,19.29,49.23,16.89,44.5,5.85,736.216666666667,87.1666666666667,6.83333333333333,40.0,3.78333333333333,33.42333690961823,33.42333690961823,1,1,0,0,0,0,0,0
60.0,20.0,21.6,44.2,21.0,43.59,20.4175,45.545,21.1666666666667,46.5266666666667,19.29,51.23,5.96666666666667,84.79,17.7,42.76,19.3566666666667,49.43,16.89,44.5,5.9,736.3,87.0,7.0,40.0,3.8,39.71199303632602,39.71199303632602,1,1,0,0,0,0,0,0
